WBGeneID,SYMBOL,elt2_detected_in_L1,dineen_set,bound_class,Embryo_Specific,Larval,Increasing,L3_High,Not_Changing,Not_Bound
WBGene00000007,aat-6,Direct,SET6,ClassA,0,0,2,0,0,0
WBGene00000008,aat-7,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00000009,aat-8,Indirect,SET3,NA,0,0,0,0,1,0
WBGene00000013,abf-2,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00000016,abf-5,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00000017,abf-6,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00000020,abt-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000022,abt-4,Indirect,SET2,NA,0,0,1,0,0,0
WBGene00000033,abu-10,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00000034,abu-11,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000044,acr-5,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00000058,acr-19,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000064,act-2,Direct,SET2,ClassD,0,0,0,2,0,0
WBGene00000066,act-4,Indirect,SET5,NA,0,0,0,0,1,0
WBGene00000067,act-5,Direct,SET2,ClassC,0,1,1,0,0,0
WBGene00000081,ads-1,Direct,SET6,ClassA,0,0,1,1,0,0
WBGene00000083,adt-2,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000084,aex-1,Indirect,SET3,NA,0,0,1,0,0,0
WBGene00000088,aex-5,Indirect,SET2,NA,0,1,1,0,0,0
WBGene00000107,alh-1,Direct,SET6,ClassA,0,0,2,0,0,0
WBGene00000109,alh-3,Indirect,SET6,NA,1,0,1,1,0,0
WBGene00000136,amt-4,Direct,SET6,ClassA,0,1,2,0,0,0
WBGene00000139,amx-3,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000144,apc-10,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000172,aqp-4,Direct,SET3,ClassB,0,0,3,0,0,0
WBGene00000200,arx-2,Indirect,SET2,NA,0,0,1,1,0,0
WBGene00000208,trip-4,Indirect,SET2,NA,0,0,2,1,0,0
WBGene00000212,asm-2,Direct,SET3,ClassB,0,1,1,0,0,0
WBGene00000213,asm-3,Indirect,SET6,NA,0,1,1,0,0,0
WBGene00000214,asp-1,Direct,SET6,ClassA,0,3,1,0,0,0
WBGene00000215,T18H9.11,Direct,SET6,ClassA,0,0,2,0,0,0
WBGene00000215,asp-2,Direct,SET6,ClassA,0,0,2,0,0,0
WBGene00000216,asp-3,Direct,SET3,ClassB,0,1,2,0,0,0
WBGene00000218,asp-5,Direct,SET6,ClassA,0,1,2,0,0,0
WBGene00000219,asp-6,Direct,SET3,ClassB,0,0,2,0,0,0
WBGene00000220,atf-2,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00000228,atn-1,Indirect,SET2,NA,0,0,2,1,0,0
WBGene00000250,bir-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000257,bmk-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000264,brc-1,Direct,SET2,ClassD,0,0,3,1,0,0
WBGene00000265,brd-1,Indirect,SET2,NA,0,0,0,0,1,0
WBGene00000274,btf-1,Direct,SET2,ClassD,0,0,0,1,0,0
WBGene00000294,cas-1,Direct,SET2,ClassD,0,0,2,0,0,0
WBGene00000302,cav-2,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00000372,cyp-13A7,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000395,cdh-3,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000396,cdh-4,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000397,cdh-5,Indirect,SET3,NA,0,0,0,1,0,0
WBGene00000420,ced-6,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000425,ced-11,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000431,ceh-6,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000465,cpg-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000467,cep-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000473,cey-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000474,cey-3,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00000480,cgp-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000485,che-3,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000490,che-11,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000503,cht-1,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000513,ckb-3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000515,ckc-1,Direct,SET6,ClassA,0,0,2,0,0,0
WBGene00000522,clc-1,Direct,SET2,ClassD,0,0,1,0,0,0
WBGene00000535,cpi-1,Indirect,SET2,NA,0,1,0,0,0,0
WBGene00000541,cln-3.3,Direct,SET3,ClassB,0,1,0,1,0,0
WBGene00000546,clp-6,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000549,cls-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000561,cnd-1,Indirect,SET6,NA,1,0,0,0,0,0
WBGene00000562,cng-1,Direct,SET1,ClassD,0,0,0,0,1,0
WBGene00000583,cof-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000592,coh-3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000594,col-117,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00000594,col-3,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00000606,col-17,Indirect,SET5,NA,0,0,0,0,0,1
WBGene00000611,col-34,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000652,col-76,Direct,SET2,ClassC,0,1,0,0,0,0
WBGene00000666,col-91,Indirect,SET5,NA,0,0,0,0,0,1
WBGene00000674,col-99,Indirect,SET2,NA,0,0,0,1,0,0
WBGene00000675,col-101,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00000677,col-103,Indirect,SET5,NA,0,0,0,0,0,1
WBGene00000681,col-107,Indirect,SET5,NA,0,0,0,0,0,1
WBGene00000691,col-117,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00000691,col-3,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00000692,col-118,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000694,col-120,Indirect,SET5,NA,0,1,0,0,0,0
WBGene00000720,col-147,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00000739,col-166,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000740,col-167,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000741,col-168,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000770,cpb-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000772,cpb-3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000780,cpn-4,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000781,cpr-1,Direct,SET1,ClassD,0,2,0,0,0,0
WBGene00000782,cpr-2,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000783,cpr-3,Direct,SET2,ClassC,0,2,0,0,0,0
WBGene00000784,cpr-4,Direct,SET3,ClassB,0,0,3,0,0,0
WBGene00000785,cpr-5,Indirect,SET6,NA,0,1,0,0,0,0
WBGene00000786,cpr-6,Direct,SET6,ClassA,0,1,1,1,0,0
WBGene00000789,cpz-2,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00000793,crh-1,Direct,SET5,ClassA,0,0,2,2,0,0
WBGene00000795,crn-2,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00000799,crn-6,Indirect,SET3,NA,0,0,1,0,0,0
WBGene00000800,cars-1,Indirect,SET2,NA,0,0,0,1,0,0
WBGene00000802,crt-1,Direct,SET2,ClassD,0,0,2,0,0,0
WBGene00000804,csc-1,Indirect,SET1,NA,0,0,0,1,0,0
WBGene00000841,cul-6,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000845,cup-4,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000867,cyb-2.2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000871,cye-1,Indirect,SET2,NA,0,0,0,2,0,0
WBGene00000885,cyn-9,Direct,SET2,ClassD,0,0,1,1,0,0
WBGene00000896,dad-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000932,dao-6,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00000935,daz-1,Indirect,SET1,NA,0,0,0,0,2,0
WBGene00000952,del-1,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000964,dhp-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000966,dhs-2,Direct,SET6,ClassA,0,0,0,1,0,0
WBGene00000968,dhs-4,Indirect,SET6,NA,0,0,1,0,0,0
WBGene00000971,dhs-7,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00000974,dhs-11,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000977,dhs-14,Direct,SET6,ClassA,0,1,0,0,0,0
WBGene00000979,dhs-16,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000981,dhs-18,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001016,dna-2,Indirect,SET2,NA,0,0,0,1,0,0
WBGene00001044,dnj-26,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001046,dnj-28,Direct,SET2,ClassD,0,0,1,0,0,0
WBGene00001049,dog-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001058,dpf-5,Indirect,SET2,NA,0,0,1,0,0,0
WBGene00001059,dpf-6,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00001068,dpy-6,Indirect,SET5,NA,0,0,0,0,0,1
WBGene00001080,dpy-21,Indirect,SET5,NA,0,0,1,0,0,0
WBGene00001094,dars-1,Indirect,SET2,NA,0,0,1,0,0,0
WBGene00001099,dsc-4,Direct,SET3,ClassB,0,1,1,0,0,0
WBGene00001109,dsl-7,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001110,duo-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001113,dur-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001127,dyf-11,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001133,eat-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001136,eat-5,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00001137,eat-6,Direct,SET2,ClassC,0,1,2,0,0,0
WBGene00001149,bcat-1,Direct,SET2,ClassC,0,0,4,0,0,0
WBGene00001156,ech-7,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001157,ech-8,Direct,SET6,ClassA,0,1,0,1,0,0
WBGene00001158,ech-9,Direct,SET3,ClassC,0,0,2,0,0,0
WBGene00001163,efn-2,Direct,SET6,ClassA,0,1,0,0,0,0
WBGene00001174,egl-5,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001188,egl-20,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001211,egl-47,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001214,ego-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001243,elo-5,Direct,SET6,ClassB,0,1,0,0,0,0
WBGene00001247,elo-9,Direct,SET2,ClassC,0,0,2,1,0,0
WBGene00001250,elt-2,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001263,emb-9,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001328,epi-1,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00001401,fbf-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001402,fbf-2,Indirect,SET2,NA,0,0,1,0,0,0
WBGene00001410,feh-1,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00001413,fem-3,Direct,SET2,ClassD,0,1,0,0,1,0
WBGene00001450,flp-7,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001456,flp-13,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001457,flp-14,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001458,flp-15,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001459,flp-16,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001463,flp-20,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001465,flr-1,Indirect,SET4,NA,0,0,0,0,0,1
WBGene00001468,flr-4,Direct,SET4,ClassB,0,0,1,0,0,0
WBGene00001475,fmi-1,Indirect,SET6,NA,0,1,0,0,0,0
WBGene00001476,fmo-1,Indirect,SET3,NA,0,0,1,0,0,0
WBGene00001481,fog-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001482,fog-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001500,ftn-1,Direct,SET4,ClassB,0,0,1,0,0,0
WBGene00001501,ftn-2,Direct,SET2,ClassC,0,1,2,0,0,0
WBGene00001506,fut-2,Direct,SET3,ClassC,0,0,1,0,0,0
WBGene00001514,xnd-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001571,gei-14,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001577,gem-4,Indirect,SET2,NA,0,0,0,0,1,0
WBGene00001578,ges-1,Direct,SET3,ClassB,0,1,1,0,0,0
WBGene00001581,gfi-1,Direct,SET5,ClassB,0,2,2,0,0,0
WBGene00001588,ggr-3,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001595,gld-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001597,gld-3,Direct,SET2,ClassD,0,0,1,0,0,0
WBGene00001598,glh-1,Indirect,SET2,NA,0,1,1,0,0,0
WBGene00001599,glh-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001600,glh-3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001601,glh-4,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001606,gln-5,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001607,gln-6,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001609,glp-1,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00001629,gly-4,Indirect,SET2,NA,0,0,0,1,1,0
WBGene00001633,gly-8,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001638,gly-13,Direct,SET3,ClassC,1,1,0,0,0,0
WBGene00001639,gly-14,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001644,gly-19,Indirect,SET6,NA,0,0,1,0,0,0
WBGene00001647,gna-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001663,gpa-1,Direct,SET6,ClassA,0,1,2,0,0,0
WBGene00001664,gpa-2,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001670,gpa-8,Direct,SET4,ClassA,0,0,1,0,0,0
WBGene00001671,gpa-9,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001672,gpa-10,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001681,gpc-1,Direct,SET6,ClassA,0,0,0,1,0,0
WBGene00001687,gpn-1,Indirect,SET3,NA,0,0,0,0,0,1
WBGene00001711,grl-2,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00001735,grl-26,Indirect,SET2,NA,0,0,0,1,0,0
WBGene00001745,gsa-1,Direct,SET5,ClassA,0,0,1,1,0,0
WBGene00001749,gst-1,Direct,SET1,ClassD,0,1,0,0,0,0
WBGene00001754,gst-6,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00001758,gst-10,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00001759,gst-11,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001770,gst-22,Direct,SET3,ClassC,0,0,1,0,0,0
WBGene00001772,gst-24,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00001774,gst-26,Direct,SET6,ClassA,0,0,1,1,0,0
WBGene00001775,gst-27,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001782,gst-34,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001783,gst-35,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001784,gst-36,Direct,SET2,ClassC,0,0,1,0,0,0
WBGene00001786,gst-38,Direct,SET6,ClassA,0,1,0,0,0,0
WBGene00001794,gta-1,Direct,SET2,ClassD,0,0,2,0,0,0
WBGene00001795,gtl-1,Direct,SET6,ClassB,0,0,5,0,0,0
WBGene00001803,lite-1,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00001812,haf-2,Indirect,SET1,NA,0,0,1,0,0,0
WBGene00001814,haf-4,Direct,SET6,ClassA,0,1,1,1,0,0
WBGene00001817,haf-7,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001819,haf-9,Direct,SET6,ClassA,0,0,1,1,0,0
WBGene00001830,hcp-2,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00001832,hcp-4,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001855,hil-4,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001856,hil-5,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001862,him-3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001863,him-4,Direct,SET2,ClassD,1,0,0,0,0,0
WBGene00001872,him-14,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001876,his-2,Indirect,SET5,NA,0,0,0,0,0,1
WBGene00001876,his-59,Indirect,SET5,NA,0,0,0,0,0,1
WBGene00001898,his-24,Direct,SET5,ClassA,0,0,0,1,0,0
WBGene00001933,his-59,Indirect,SET5,NA,0,0,0,0,0,1
WBGene00001973,hmg-3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001977,hmg-12,Indirect,SET2,NA,0,0,1,0,0,0
WBGene00001983,hoe-1,Indirect,SET2,NA,0,1,0,0,0,0
WBGene00001985,hop-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001989,hot-4,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001994,hpk-1,Direct,SET5,ClassA,0,1,1,1,0,0
WBGene00001998,hpr-17,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00002005,hsp-1,Direct,SET2,ClassD,0,0,1,1,0,0
WBGene00002012,hsp-12.3,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00002013,hsp-12.6,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00002016,hsp-16.2,Direct,SET1,ClassD,0,1,0,0,0,0
WBGene00002018,hsp-16.41,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00002021,hsp-17,Direct,SET2,ClassD,0,0,2,0,0,0
WBGene00002023,hsp-25,Indirect,SET2,NA,0,0,3,0,0,0
WBGene00002024,hsp-43,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00002025,hsp-60,Direct,SET5,ClassA,0,0,0,1,0,0
WBGene00002026,hsp-70,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00002032,htp-1,Direct,SET2,ClassD,0,0,1,0,0,0
WBGene00002033,htp-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00002034,htp-3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00002035,hum-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00002038,hum-5,Direct,SET2,ClassC,0,0,1,1,0,0
WBGene00002040,hum-7,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00002041,hum-8,Direct,SET3,ClassC,0,2,0,0,0,0
WBGene00002043,hyl-1,Direct,SET2,ClassC,0,0,2,1,0,0
WBGene00002050,ifa-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00002054,ifb-2,Direct,SET3,ClassB,0,3,1,0,0,0
WBGene00002055,ifc-1,Direct,SET3,ClassB,0,2,0,0,0,0
WBGene00002057,ifd-1,Direct,SET3,ClassB,0,2,1,0,0,0
WBGene00002058,ifd-2,Direct,SET6,ClassB,0,1,1,0,0,0
WBGene00002063,ife-5,Indirect,SET2,NA,0,0,0,1,0,0
WBGene00002064,iff-1,Indirect,SET1,NA,0,0,1,0,0,0
WBGene00002068,ify-1,Direct,SET2,ClassD,0,0,1,0,0,0
WBGene00002073,ima-2,Direct,SET2,ClassD,0,0,1,0,0,0
WBGene00002094,ins-11,Direct,SET2,ClassC,0,1,0,0,0,0
WBGene00002095,ins-12,Direct,SET4,ClassB,0,1,2,0,0,0
WBGene00002118,ins-35,Direct,SET6,ClassA,0,1,1,0,0,0
WBGene00002124,inx-2,Indirect,SET2,NA,0,0,0,1,0,0
WBGene00002125,inx-3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00002130,inx-8,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00002131,inx-9,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00002136,inx-14,Indirect,SET2,NA,0,0,1,0,0,0
WBGene00002137,inx-15,Direct,SET3,ClassB,0,0,1,0,0,0
WBGene00002138,inx-16,Indirect,SET3,NA,0,0,0,0,1,0
WBGene00002139,inx-17,Indirect,SET3,NA,0,0,0,0,0,1
WBGene00002140,inx-18,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00002143,inx-21,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00002144,inx-22,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00002174,itx-1,Indirect,SET2,NA,0,1,1,0,0,0
WBGene00002188,kgb-2,Direct,SET6,ClassA,0,1,0,0,0,0
WBGene00002195,kin-9,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00002214,klc-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00002225,klp-15,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00002228,klp-18,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00002234,kqt-2,Direct,SET3,ClassB,0,1,1,0,0,0
WBGene00002246,lag-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00002247,lam-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00002253,lbp-1,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00002255,lbp-3,Direct,SET1,ClassD,0,0,1,0,0,0
WBGene00002258,lbp-6,Indirect,SET3,NA,0,0,0,0,0,1
WBGene00002259,lbp-7,Direct,SET6,ClassA,0,0,2,0,0,0
WBGene00002260,lbp-8,Direct,SET3,ClassC,0,0,1,0,0,0
WBGene00002263,lea-1,Direct,SET2,ClassD,0,1,0,0,0,0
WBGene00002264,lec-1,Direct,SET2,ClassD,0,1,1,2,0,0
WBGene00002268,lec-5,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00002269,lec-6,Direct,SET2,ClassD,0,3,0,0,0,0
WBGene00002270,lec-7,Indirect,SET1,NA,0,0,1,0,0,0
WBGene00002271,lec-8,Direct,SET1,ClassD,0,0,1,0,0,0
WBGene00002273,lec-10,Direct,SET2,ClassC,0,0,1,0,0,0
WBGene00002274,lec-11,Direct,SET2,ClassC,0,1,0,0,0,0
WBGene00002275,lem-2,Direct,SET1,ClassD,2,0,0,0,0,0
WBGene00002276,lem-3,Direct,SET2,ClassD,0,0,1,0,0,0
WBGene00002280,let-2,Direct,SET2,ClassD,0,0,0,1,0,0
WBGene00002299,let-23,Direct,SET6,ClassA,0,1,2,0,0,0
WBGene00002368,let-99,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00002497,let-268,Direct,SET2,ClassD,0,0,1,1,0,0
WBGene00002601,let-381,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00002827,let-653,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00002915,let-805,Direct,SET5,ClassA,0,0,1,1,0,0
WBGene00002992,lin-3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00003001,lin-12,Indirect,SET2,NA,0,0,3,0,0,0
WBGene00003015,lin-29,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00003017,lin-31,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00003029,lin-44,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00003033,lin-48,Indirect,SET6,NA,1,0,0,0,0,0
WBGene00003055,lon-1,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00003056,lon-2,Direct,SET2,ClassC,0,1,1,0,0,0
WBGene00003060,lpd-3,Indirect,SET4,NA,1,0,0,0,0,0
WBGene00003071,lrp-1,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00003083,lst-1,Indirect,SET2,NA,0,0,2,0,0,0
WBGene00003086,lst-4,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00003090,lys-1,Direct,SET6,ClassA,0,1,1,0,0,0
WBGene00003091,lys-2,Direct,SET6,ClassB,0,1,1,0,0,0
WBGene00003092,lys-3,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00003093,lys-4,Direct,SET6,ClassA,0,1,0,0,0,0
WBGene00003096,lys-7,Direct,SET6,ClassA,0,1,0,0,0,0
WBGene00003097,lys-8,Direct,SET3,ClassC,0,1,1,0,0,0
WBGene00003106,mab-9,Direct,SET6,ClassA,0,0,0,1,0,0
WBGene00003114,mab-23,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00003148,mbf-1,Indirect,SET2,NA,0,0,0,1,0,0
WBGene00003167,mec-3,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00003173,mec-9,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00003174,mec-10,Direct,SET6,ClassA,0,1,0,0,0,0
WBGene00003228,mex-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00003230,mex-5,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00003231,mex-6,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00003242,mig-6,Indirect,SET2,NA,1,0,0,0,0,0
WBGene00003243,mig-10,Direct,SET2,ClassD,0,0,2,2,2,0
WBGene00003375,mlp-1,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00003376,mls-1,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00003377,mls-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00003395,mom-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00003402,mpk-2,Direct,SET6,ClassA,0,0,1,1,0,0
WBGene00003404,mpz-1,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00003405,mre-11,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00003408,mrp-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00003409,mrp-3,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00003410,mrp-4,Indirect,SET3,NA,0,0,0,0,0,1
WBGene00003411,mrp-5,Direct,SET3,ClassB,0,3,1,0,0,0
WBGene00003421,msh-5,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00003422,msh-6,Indirect,SET2,NA,0,0,0,0,1,0
WBGene00003473,mtl-1,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00003474,mtl-2,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00003482,mua-3,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00003485,mua-6,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00003497,mup-4,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00003504,mut-7,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00003511,mxl-3,Direct,SET1,ClassD,0,2,3,0,0,0
WBGene00003518,nac-2,Indirect,SET3,NA,0,0,0,1,0,0
WBGene00003520,nas-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00003524,nas-5,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00003527,nas-8,Indirect,SET3,NA,0,0,0,0,0,1
WBGene00003531,nas-12,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00003533,nas-14,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00003544,nas-25,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00003546,nas-28,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00003547,nas-29,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00003559,ncl-1,Direct,SET5,ClassA,0,3,6,1,0,0
